"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","81600","A","","","0"
"2020","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","86600","A","","","0"
"2021","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","85900","A","","","0"
"2022","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","82500","A","","","0"
"2023","British Columbia","2021A000259","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414811","13.8.1","82600","A","","","0"
"2009","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","104100","B","","","0"
"2010","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","101200","B","","","0"
"2011","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","103400","B","","","0"
"2012","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","105200","B","","","0"
"2013","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","107300","A","","","0"
"2014","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","107800","B","","","0"
"2015","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","110800","B","","","0"
"2016","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","111300","A","","","0"
"2017","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","114800","A","","","0"
"2018","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","119200","A","","","0"
"2019","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","117100","B","","","0"
"2020","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","122200","A","","","0"
"2021","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","123200","A","","","0"
"2022","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","121700","A","","","0"
