"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","13800","A","","","0"
"2023","Quebec","2021A000224","Median government transfers","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413331","7.6.1","11900","A","","","0"
"2009","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","11700","B","","","0"
"2010","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","11100","C","","","0"
"2011","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","10400","C","","","0"
"2012","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","11400","B","","","0"
"2013","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","11500","B","","","0"
"2014","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","12200","B","","","0"
"2015","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","12500","B","","","0"
"2016","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","13800","B","","","0"
"2017","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","13500","B","","","0"
"2018","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","13700","B","","","0"
"2019","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","13500","C","","","0"
"2020","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","24400","A","","","0"
"2021","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","19600","A","","","0"
"2022","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","19600","A","","","0"
"2023","Quebec","2021A000224","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413332","7.6.2","17200","A","","","0"
"2009","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","","F","","","0"
"2010","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","5800","E","","","0"
"2011","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","6200","E","","","0"
"2012","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","4500","E","","","0"
"2013","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","6100","E","","","0"
"2014","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","7000","E","","","0"
"2015","Quebec","2021A000224","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413344","7.6.14","6600","E","","","0"
