"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","8000","C","","","0"
"2010","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","9100","C","","","0"
"2011","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","7900","C","","","0"
"2012","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","9000","C","","","0"
"2013","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","9000","C","","","0"
"2014","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","9500","C","","","0"
"2015","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","9400","C","","","0"
"2016","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","10200","B","","","0"
"2017","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","10700","B","","","0"
"2018","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","10300","B","","","0"
"2019","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","10700","B","","","0"
"2020","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","24400","A","","","0"
"2021","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","19300","A","","","0"
"2022","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","12600","A","","","0"
"2023","Ontario","2021A000235","Median government transfers","Economic families","2023 constant dollars","449","units","0","v96413572","8.6.2","12800","A","","","0"
"2009","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","","F","","","0"
"2010","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","","F","","","0"
"2011","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","2200","E","","","0"
"2012","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","1900","D","","","0"
"2013","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","1900","E","","","0"
"2014","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","2200","E","","","0"
"2015","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","1900","D","","","0"
"2016","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","1900","E","","","0"
"2017","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","2300","E","","","0"
"2018","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","2400","E","","","0"
"2019","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","2800","E","","","0"
"2020","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","13000","C","","","0"
"2021","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","7600","D","","","0"
"2022","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","3000","C","","","0"
"2023","Ontario","2021A000235","Median government transfers","Persons not in an economic family","2023 constant dollars","449","units","0","v96413584","8.6.14","2300","C","","","0"
"2009","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","80500","A","","","0"
"2010","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","80000","A","","","0"
"2011","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","79000","A","","","0"
"2012","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","79600","A","","","0"
"2013","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","77900","A","","","0"
"2014","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","81500","A","","","0"
"2015","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","80800","A","","","0"
"2016","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","80700","A","","","0"
"2017","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","83400","A","","","0"
"2018","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","85900","A","","","0"
"2019","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","84800","A","","","0"
"2020","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","91100","A","","","0"
"2021","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","92000","A","","","0"
"2022","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","87700","A","","","0"
"2023","Ontario","2021A000235","Median total income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413611","8.8.1","89300","A","","","0"
"2009","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","103300","A","","","0"
"2010","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","105700","A","","","0"
"2011","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","105500","A","","","0"
"2012","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","109200","A","","","0"
"2013","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","107800","A","","","0"
"2014","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","111800","A","","","0"
"2015","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","113600","A","","","0"
"2016","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","112700","A","","","0"
"2017","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","115100","A","","","0"
"2018","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","120600","A","","","0"
"2019","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","118100","A","","","0"
"2020","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","127000","A","","","0"
"2021","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","126100","A","","","0"
"2022","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","125500","A","","","0"
"2023","Ontario","2021A000235","Median total income","Economic families","2023 constant dollars","449","units","0","v96413612","8.8.2","125700","A","","","0"
"2009","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","39800","C","","","0"
"2010","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","40600","C","","","0"
"2011","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","35100","C","","","0"
"2012","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","37300","B","","","0"
"2013","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","40800","C","","","0"
"2014","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","40500","B","","","0"
"2015","Ontario","2021A000235","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413624","8.8.14","38800","C","","","0"
